Date, Organic pages (Monthly volume - United Arab Emirates), Organic traffic (Monthly volume - United Arab Emirates)
2023-03-28, 708, 214
2023-03-29, 705, 214
2023-03-30, 699, 212
2023-03-31, 694, 190
2023-04-01, 701, 189
2023-04-02, 700, 189
2023-04-03, 711, 190
2023-04-04, 712, 180
2023-04-05, 702, 177
2023-04-06, 703, 171
2023-04-07, 695, 153
2023-04-08, 701, 159
2023-04-09, 717, 163
2023-04-10, 707, 163
2023-04-11, 693, 153
2023-04-12, 686, 152
2023-04-13, 676, 151
2023-04-14, 674, 151
2023-04-15, 671, 155
2023-04-16, 674, 155
2023-04-17, 673, 158
2023-04-18, 669, 148
2023-04-19, 669, 148
2023-04-20, 668, 149
2023-04-21, 667, 151
2023-04-22, 668, 150
2023-04-23, 669, 116
2023-04-24, 666, 115
2023-04-25, 660, 113
2023-04-26, 658, 113
2023-04-27, 659, 113
2023-04-28, 655, 114
2023-04-29, 651, 117
2023-04-30, 650, 113
2023-05-01, 658, 113
2023-05-02, 657, 113
2023-05-03, 664, 107
2023-05-04, 657, 124
2023-05-05, 657, 116
2023-05-06, 660, 116
2023-05-07, 656, 111
2023-05-08, 656, 113
2023-05-09, 652, 115
2023-05-10, 657, 124
2023-05-11, 660, 118
2023-05-12, 657, 117
2023-05-13, 651, 116
2023-05-14, 649, 117
2023-05-15, 651, 111
2023-05-16, 654, 112
2023-05-17, 656, 116
2023-05-18, 656, 118
2023-05-19, 658, 118
2023-05-20, 655, 122
2023-05-21, 652, 121
2023-05-22, 658, 121
2023-05-23, 660, 132
2023-05-24, 662, 133
2023-05-25, 665, 127
2023-05-26, 662, 128
2023-05-27, 657, 129
2023-05-28, 652, 130
2023-05-29, 648, 132
2023-05-30, 651, 143
2023-05-31, 656, 143
2023-06-01, 660, 142
2023-06-02, 661, 140
2023-06-03, 658, 131
2023-06-04, 657, 118
2023-06-05, 660, 116
2023-06-06, 664, 121
2023-06-07, 667, 123
2023-06-08, 665, 123
2023-06-09, 665, 123
2023-06-10, 660, 126
2023-06-11, 658, 157
2023-06-12, 661, 159
2023-06-13, 671, 154
2023-06-14, 694, 175
2023-06-15, 709, 193
2023-06-16, 726, 184
2023-06-17, 744, 210
2023-06-18, 754, 204
2023-06-19, 752, 198
2023-06-20, 760, 221
2023-06-21, 775, 315
2023-06-22, 791, 316
2023-06-23, 810, 325
2023-06-24, 820, 329
2023-06-25, 811, 327
2023-06-26, 801, 338
2023-06-27, 807, 319
2023-06-28, 793, 319
2023-06-29, 776, 318
2023-06-30, 779, 325
2023-07-01, 788, 343
2023-07-02, 795, 345
2023-07-03, 811, 384
2023-07-04, 820, 392
2023-07-05, 811, 389
2023-07-06, 795, 373
2023-07-07, 797, 382
2023-07-08, 793, 377
2023-07-09, 786, 385
2023-07-10, 784, 394
2023-07-11, 782, 388
2023-07-12, 788, 387
2023-07-13, 784, 375
2023-07-14, 794, 377
2023-07-15, 796, 375
2023-07-16, 798, 374
2023-07-17, 808, 317
2023-07-18, 816, 325
2023-07-19, 828, 323
2023-07-20, 838, 324
2023-07-21, 837, 306
2023-07-22, 832, 310
2023-07-23, 833, 305
2023-07-24, 835, 312
2023-07-25, 839, 328
2023-07-26, 849, 327
2023-07-27, 872, 323
2023-07-28, 871, 320
2023-07-29, 870, 320
2023-07-30, 869, 320
2023-07-31, 876, 320
2023-08-01, 895, 324
2023-08-02, 910, 332
2023-08-03, 919, 327
2023-08-04, 928, 324
2023-08-05, 935, 325
2023-08-06, 934, 331
2023-08-07, 940, 331
2023-08-08, 949, 330
2023-08-09, 955, 338
2023-08-10, 963, 339
2023-08-11, 982, 335
2023-08-12, 995, 337
2023-08-13, 998, 346
2023-08-14, 1005, 340
2023-08-15, 1007, 342
2023-08-16, 1014, 333
2023-08-17, 1027, 334
2023-08-18, 1037, 347
2023-08-19, 1045, 346
2023-08-20, 1047, 350
2023-08-21, 1059, 403
2023-08-22, 1069, 402
2023-08-23, 1074, 402
2023-08-24, 1083, 404
2023-08-25, 1095, 401
2023-08-26, 1095, 397
2023-08-27, 1100, 392
2023-08-28, 1114, 379
2023-08-29, 1118, 381
2023-08-30, 1120, 385
2023-08-31, 1125, 385
2023-09-01, 1136, 408
2023-09-02, 1144, 406
2023-09-03, 1138, 410
2023-09-04, 1130, 367
2023-09-05, 1130, 364
2023-09-06, 1136, 376
2023-09-07, 1139, 379
2023-09-08, 1142, 379
2023-09-09, 1141, 376
2023-09-10, 1140, 370
2023-09-11, 1138, 382
2023-09-12, 1137, 385
2023-09-13, 1142, 400
2023-09-14, 1147, 388
